Date,Time,CPU Temp,CPU Load,Total Mem,Free Mem,Used Mem
13-10-2021,16:13:33,82.7,76.673,895008,616804,278204
13-10-2021,16:13:34,83.8,76.6926,895008,617044,277964
13-10-2021,16:13:35,83.3,76.7049,895008,618124,276884
13-10-2021,16:13:37,83.3,76.7131,895008,615864,279144
13-10-2021,16:13:38,83.3,76.7209,895008,616380,278628
13-10-2021,16:13:39,82.7,76.7397,895008,616748,278260
13-10-2021,16:13:40,82.7,76.7533,895008,615184,279824
13-10-2021,16:13:41,83.3,76.7649,895008,616508,278500
13-10-2021,16:13:42,83.8,76.7855,895008,616900,278108
13-10-2021,16:13:43,83.8,76.8036,895008,616404,278604
13-10-2021,16:13:44,83.8,76.8141,895008,617948,277060
13-10-2021,16:13:45,83.3,76.8182,895008,618068,276940
13-10-2021,16:13:46,82.7,76.8263,895008,616356,278652
13-10-2021,16:13:48,83.8,76.8454,895008,616084,278924
13-10-2021,16:13:49,82.7,76.8645,895008,616944,278064
13-10-2021,16:13:50,83.3,76.8773,895008,616676,278332
13-10-2021,16:13:51,83.3,76.8954,895008,616732,278276
13-10-2021,16:13:52,83.8,76.9372,895008,617016,277992
13-10-2021,16:13:53,83.3,76.9534,895008,615808,279200
13-10-2021,16:13:54,83.8,76.9745,895008,616636,278372
13-10-2021,16:13:55,83.8,76.9904,895008,617392,277616
13-10-2021,16:13:56,83.3,77.0094,895008,616808,278200
13-10-2021,16:13:57,83.3,77.0242,895008,615208,279800
13-10-2021,16:13:59,82.7,77.038,895008,616116,278892
13-10-2021,16:14:00,83.3,77.052,895008,616852,278156
13-10-2021,16:14:01,82.7,77.0614,895008,615920,279088
13-10-2021,16:14:02,82.7,77.0766,895008,616504,278504
13-10-2021,16:14:03,83.3,77.0933,895008,616568,278440
13-10-2021,16:14:04,83.8,77.1105,895008,616892,278116
13-10-2021,16:14:05,83.3,77.1213,895008,616936,278072
13-10-2021,16:14:06,83.8,77.1343,895008,617088,277920
13-10-2021,16:14:07,83.8,77.1533,895008,616608,278400
13-10-2021,16:14:08,83.3,77.157,895008,617496,277512
13-10-2021,16:14:10,83.3,77.1708,895008,616908,278100
13-10-2021,16:14:11,83.3,77.1898,895008,617236,277772
13-10-2021,16:14:12,83.8,77.192,895008,616400,278608
13-10-2021,16:14:13,82.7,77.1983,895008,616956,278052
13-10-2021,16:14:14,83.3,77.2106,895008,615532,279476
13-10-2021,16:14:15,83.3,77.2316,895008,616056,278952
13-10-2021,16:14:16,83.8,77.2462,895008,616328,278680
13-10-2021,16:14:17,82.7,77.2597,895008,617764,277244
13-10-2021,16:14:19,82.7,77.2686,895008,616896,278112
13-10-2021,16:14:20,83.3,77.2786,895008,616352,278656
13-10-2021,16:14:21,83.3,77.2905,895008,615444,279564
13-10-2021,16:14:22,83.3,77.2941,895008,616128,278880
13-10-2021,16:14:23,83.3,77.2984,895008,617760,277248
13-10-2021,16:14:24,83.3,77.3155,895008,616044,278964
13-10-2021,16:14:25,83.8,77.3262,895008,617456,277552
13-10-2021,16:14:26,83.3,77.3395,895008,615952,279056
13-10-2021,16:14:27,83.3,77.358,895008,616352,278656
13-10-2021,16:14:28,83.8,77.3697,895008,617144,277864
13-10-2021,16:14:30,83.3,77.3741,895008,616224,278784
13-10-2021,16:14:31,83.8,77.3911,895008,617356,277652
13-10-2021,16:14:32,83.3,77.3928,895008,616092,278916
13-10-2021,16:14:33,83.3,77.4028,895008,616208,278800
13-10-2021,16:14:34,83.3,77.4085,895008,616424,278584
13-10-2021,16:14:35,83.3,77.4075,895008,615788,279220
13-10-2021,16:14:36,82.7,77.4192,895008,616580,278428
13-10-2021,16:14:37,82.7,77.423,895008,616408,278600
13-10-2021,16:14:39,82.7,77.4278,895008,615132,279876
13-10-2021,16:14:40,82.7,77.4291,895008,616164,278844
13-10-2021,16:14:41,83.8,77.4336,895008,616140,278868
13-10-2021,16:14:42,82.7,77.4453,895008,617100,277908
13-10-2021,16:14:43,82.7,77.4471,895008,617740,277268
13-10-2021,16:14:44,83.3,77.4446,895008,616704,278304
13-10-2021,16:14:45,82.7,77.4474,895008,617756,277252
13-10-2021,16:14:46,83.8,77.4481,895008,615380,279628
13-10-2021,16:14:47,83.3,77.4565,895008,616676,278332
13-10-2021,16:14:49,83.3,77.4586,895008,616220,278788
13-10-2021,16:14:50,83.8,77.4683,895008,615668,279340
13-10-2021,16:14:51,83.8,77.4728,895008,616704,278304
13-10-2021,16:14:52,82.7,77.4857,895008,613816,281192
13-10-2021,16:14:53,83.8,77.4987,895008,616576,278432
13-10-2021,16:14:54,83.3,77.4988,895008,615904,279104
13-10-2021,16:14:55,82.7,77.5003,895008,616428,278580
13-10-2021,16:14:56,82.7,77.5071,895008,617316,277692
13-10-2021,16:14:57,82.7,77.5157,895008,615768,279240
13-10-2021,16:14:59,83.3,77.5163,895008,616500,278508
13-10-2021,16:15:00,83.8,77.5186,895008,615424,279584
13-10-2021,16:15:01,82.7,77.5282,895008,616180,278828
13-10-2021,16:15:02,82.7,77.5297,895008,617240,277768
13-10-2021,16:15:03,83.3,77.5359,895008,617924,277084
13-10-2021,16:15:04,83.8,77.5447,895008,615872,279136
13-10-2021,16:15:05,83.8,77.5555,895008,616332,278676
13-10-2021,16:15:06,82.7,77.5653,895008,617312,277696
13-10-2021,16:15:08,83.3,77.5829,895008,617844,277164
13-10-2021,16:15:09,83.8,77.5826,895008,616672,278336
13-10-2021,16:15:10,83.3,77.5963,895008,616644,278364
13-10-2021,16:15:11,82.7,77.6131,895008,615400,279608
13-10-2021,16:15:12,83.8,77.6137,895008,616220,278788
13-10-2021,16:15:13,82.7,77.6213,895008,615228,279780
13-10-2021,16:15:14,83.3,77.6268,895008,616092,278916
13-10-2021,16:15:15,83.8,77.6357,895008,616164,278844
13-10-2021,16:15:16,83.3,77.6389,895008,614856,280152
13-10-2021,16:15:17,83.3,77.6507,895008,617292,277716
13-10-2021,16:15:19,82.7,77.6594,895008,615648,279360
13-10-2021,16:15:20,83.8,77.6661,895008,615112,279896
13-10-2021,16:15:21,83.8,77.6778,895008,616120,278888
13-10-2021,16:15:22,83.3,77.6855,895008,615772,279236
13-10-2021,16:15:23,83.3,77.6924,895008,616452,278556
13-10-2021,16:15:24,83.3,77.6968,895008,615732,279276
13-10-2021,16:15:25,82.7,77.7041,895008,616668,278340
13-10-2021,16:15:26,83.8,77.7152,895008,616832,278176
13-10-2021,16:15:27,83.3,77.7232,895008,616660,278348
13-10-2021,16:15:29,83.8,77.7366,895008,615992,279016
13-10-2021,16:15:30,82.7,77.7468,895008,616196,278812
13-10-2021,16:15:31,83.8,77.7453,895008,616076,278932
13-10-2021,16:15:32,83.3,77.7558,895008,616260,278748
13-10-2021,16:15:33,83.3,77.7653,895008,616212,278796
13-10-2021,16:15:34,83.3,77.7723,895008,616040,278968
13-10-2021,16:15:35,83.3,77.782,895008,616904,278104
13-10-2021,16:15:36,83.8,77.7933,895008,615780,279228
13-10-2021,16:15:37,83.8,77.7983,895008,616332,278676
13-10-2021,16:15:38,83.8,77.8082,895008,615732,279276
13-10-2021,16:15:40,83.3,77.8122,895008,616224,278784
13-10-2021,16:15:41,83.8,77.8243,895008,617336,277672
13-10-2021,16:15:42,83.8,77.8335,895008,615908,279100
13-10-2021,16:15:43,83.8,77.8469,895008,615680,279328
13-10-2021,16:15:44,83.8,77.8547,895008,616212,278796
13-10-2021,16:15:45,83.3,77.8595,895008,616180,278828
13-10-2021,16:15:46,83.8,77.867,895008,615632,279376
13-10-2021,16:15:47,83.3,77.8733,895008,615076,279932
13-10-2021,16:15:48,83.8,77.8744,895008,615980,279028
13-10-2021,16:15:49,83.8,77.8805,895008,615964,279044
13-10-2021,16:15:51,83.3,77.8903,895008,615492,279516
13-10-2021,16:15:52,82.7,77.8939,895008,615128,279880
13-10-2021,16:15:53,83.8,77.9215,895008,613700,281308
13-10-2021,16:15:54,83.8,77.9295,895008,615604,279404
13-10-2021,16:15:55,83.8,77.9441,895008,616504,278504
13-10-2021,16:15:56,83.8,77.9531,895008,617448,277560
13-10-2021,16:15:57,83.8,77.9613,895008,615604,279404
13-10-2021,16:15:58,82.7,77.9713,895008,615928,279080
13-10-2021,16:15:59,83.8,77.976,895008,615572,279436
13-10-2021,16:16:01,83.3,77.9858,895008,615728,279280
13-10-2021,16:16:02,83.8,77.9956,895008,615740,279268
13-10-2021,16:16:03,83.3,78,895008,615168,279840
13-10-2021,16:16:04,83.8,78.0091,895008,615836,279172
13-10-2021,16:16:05,83.8,78.012,895008,615268,279740
13-10-2021,16:16:06,83.3,78.0216,895008,614968,280040
13-10-2021,16:16:07,83.8,78.023,895008,617384,277624
13-10-2021,16:16:08,83.8,78.021,895008,615628,279380
13-10-2021,16:16:09,83.3,78.0338,895008,617656,277352
13-10-2021,16:16:10,83.8,78.0469,895008,615652,279356
13-10-2021,16:16:12,83.8,78.0586,895008,616468,278540
13-10-2021,16:16:13,83.8,78.0704,895008,616572,278436
13-10-2021,16:16:14,83.8,78.0746,895008,615660,279348
13-10-2021,16:16:15,83.3,78.0868,895008,616132,278876
13-10-2021,16:16:16,83.8,78.0987,895008,616232,278776
13-10-2021,16:16:17,83.8,78.1099,895008,615600,279408
13-10-2021,16:16:18,83.8,78.1189,895008,615236,279772
13-10-2021,16:16:19,83.8,78.1284,895008,616248,278760
13-10-2021,16:16:20,83.8,78.1347,895008,616296,278712
13-10-2021,16:16:21,83.8,78.1432,895008,615400,279608
13-10-2021,16:16:23,83.8,78.1517,895008,615808,279200
13-10-2021,16:16:24,83.8,78.1609,895008,616328,278680
13-10-2021,16:16:25,83.8,78.1673,895008,616760,278248
13-10-2021,16:16:26,83.8,78.1785,895008,616624,278384
13-10-2021,16:16:27,83.8,78.1863,895008,615884,279124
13-10-2021,16:16:28,83.3,78.1982,895008,616552,278456
13-10-2021,16:16:29,83.8,78.2031,895008,615184,279824
13-10-2021,16:16:30,83.8,78.2083,895008,615376,279632
13-10-2021,16:16:31,83.3,78.2181,895008,615928,279080
13-10-2021,16:16:33,83.8,78.2279,895008,617584,277424
13-10-2021,16:16:34,83.3,78.232,895008,615880,279128
13-10-2021,16:16:35,83.8,78.2402,895008,616132,278876
13-10-2021,16:16:36,83.8,78.2487,895008,615328,279680
13-10-2021,16:16:37,83.8,78.2647,895008,616856,278152
13-10-2021,16:16:38,83.8,78.2725,895008,615144,279864
13-10-2021,16:16:39,83.8,78.2803,895008,616676,278332
13-10-2021,16:16:40,83.8,78.286,895008,615024,279984
13-10-2021,16:16:41,83.8,78.2932,895008,614436,280572
13-10-2021,16:16:43,83.8,78.3048,895008,616376,278632
13-10-2021,16:16:44,83.8,78.305,895008,616008,279000
13-10-2021,16:16:45,83.8,78.3106,895008,615308,279700
13-10-2021,16:16:46,83.8,78.3171,895008,615460,279548
13-10-2021,16:16:47,83.8,78.3255,895008,615880,279128
13-10-2021,16:16:48,83.8,78.3347,895008,616708,278300
13-10-2021,16:16:49,83.8,78.3404,895008,616644,278364
13-10-2021,16:16:50,83.8,78.3432,895008,615636,279372
13-10-2021,16:16:51,83.8,78.3477,895008,614852,280156
13-10-2021,16:16:53,83.3,78.3529,895008,614924,280084
13-10-2021,16:16:54,83.8,78.3743,895008,615084,279924
13-10-2021,16:16:55,83.8,78.3822,895008,616188,278820
13-10-2021,16:16:56,83.3,78.3878,895008,616612,278396
13-10-2021,16:16:57,83.3,78.3927,895008,616448,278560
13-10-2021,16:16:58,83.8,78.4016,895008,616344,278664
13-10-2021,16:16:59,82.7,78.4101,895008,615836,279172
13-10-2021,16:17:00,83.8,78.4153,895008,616468,278540
13-10-2021,16:17:01,83.8,78.4215,895008,615508,279500
13-10-2021,16:17:02,83.8,78.436,895008,614416,280592
13-10-2021,16:17:04,83.3,78.4498,895008,616440,278568
13-10-2021,16:17:05,83.8,78.4565,895008,615308,279700
